@SpeciesCode,@MeasurementDateGMT,@Value,SiteCode
FINE,2023-01-27 09:00:00,,BT4
FINE,2023-01-27 10:00:00,,BT4
FINE,2023-01-27 11:00:00,,BT4
FINE,2023-01-27 12:00:00,,BT4
FINE,2023-01-27 13:00:00,,BT4
FINE,2023-01-27 14:00:00,,BT4
FINE,2023-01-27 15:00:00,,BT4
FINE,2023-01-27 16:00:00,,BT4
FINE,2023-01-27 17:00:00,,BT4
FINE,2023-01-27 18:00:00,,BT4
FINE,2023-01-27 19:00:00,,BT4
FINE,2023-01-27 20:00:00,,BT4
FINE,2023-01-27 21:00:00,,BT4
FINE,2023-01-27 22:00:00,,BT4
FINE,2023-01-27 23:00:00,,BT4
FINE,2023-01-28 00:00:00,,BT4
FINE,2023-01-28 01:00:00,,BT4
FINE,2023-01-28 02:00:00,,BT4
FINE,2023-01-28 03:00:00,,BT4
FINE,2023-01-28 04:00:00,,BT4
FINE,2023-01-28 05:00:00,,BT4
FINE,2023-01-28 06:00:00,,BT4
FINE,2023-01-28 07:00:00,,BT4
FINE,2023-01-28 08:00:00,,BT4
FINE,2023-01-28 09:00:00,,BT4
FINE,2023-01-28 10:00:00,,BT4
FINE,2023-01-28 11:00:00,,BT4
FINE,2023-01-28 12:00:00,,BT4
FINE,2023-01-28 13:00:00,,BT4
FINE,2023-01-28 14:00:00,,BT4
FINE,2023-01-28 15:00:00,,BT4
FINE,2023-01-28 16:00:00,,BT4
FINE,2023-01-28 17:00:00,,BT4
FINE,2023-01-28 18:00:00,,BT4
FINE,2023-01-28 19:00:00,,BT4
FINE,2023-01-28 20:00:00,,BT4
FINE,2023-01-28 21:00:00,,BT4
FINE,2023-01-28 22:00:00,,BT4
FINE,2023-01-28 23:00:00,,BT4
FINE,2023-01-29 00:00:00,,BT4
FINE,2023-01-29 01:00:00,,BT4
FINE,2023-01-29 02:00:00,,BT4
FINE,2023-01-29 03:00:00,,BT4
FINE,2023-01-29 04:00:00,,BT4
FINE,2023-01-29 05:00:00,,BT4
FINE,2023-01-29 06:00:00,,BT4
FINE,2023-01-29 07:00:00,,BT4
FINE,2023-01-29 08:00:00,,BT4
FINE,2023-01-29 09:00:00,,BT4
FINE,2023-01-29 10:00:00,,BT4
FINE,2023-01-29 11:00:00,,BT4
FINE,2023-01-29 12:00:00,,BT4
FINE,2023-01-29 13:00:00,,BT4
FINE,2023-01-29 14:00:00,,BT4
FINE,2023-01-29 15:00:00,,BT4
FINE,2023-01-29 16:00:00,,BT4
FINE,2023-01-29 17:00:00,,BT4
FINE,2023-01-29 18:00:00,,BT4
FINE,2023-01-29 19:00:00,,BT4
FINE,2023-01-29 20:00:00,,BT4
FINE,2023-01-29 21:00:00,,BT4
FINE,2023-01-29 22:00:00,,BT4
FINE,2023-01-29 23:00:00,,BT4
FINE,2023-01-30 00:00:00,,BT4
FINE,2023-01-30 01:00:00,,BT4
FINE,2023-01-30 02:00:00,,BT4
FINE,2023-01-30 03:00:00,,BT4
FINE,2023-01-30 04:00:00,,BT4
FINE,2023-01-30 05:00:00,,BT4
FINE,2023-01-30 06:00:00,,BT4
FINE,2023-01-30 07:00:00,,BT4
FINE,2023-01-30 08:00:00,,BT4
FINE,2023-01-30 09:00:00,,BT4
FINE,2023-01-30 10:00:00,,BT4
FINE,2023-01-30 11:00:00,,BT4
FINE,2023-01-30 12:00:00,,BT4
FINE,2023-01-30 13:00:00,,BT4
FINE,2023-01-30 14:00:00,,BT4
FINE,2023-01-30 15:00:00,,BT4
FINE,2023-01-30 16:00:00,,BT4
FINE,2023-01-30 17:00:00,,BT4
FINE,2023-01-30 18:00:00,,BT4
FINE,2023-01-30 19:00:00,,BT4
FINE,2023-01-30 20:00:00,,BT4
FINE,2023-01-30 21:00:00,,BT4
FINE,2023-01-30 22:00:00,,BT4
FINE,2023-01-30 23:00:00,,BT4
NO2,2023-01-01 00:00:00,11.4,BT4
NO2,2023-01-01 01:00:00,14.5,BT4
NO2,2023-01-01 02:00:00,14,BT4
NO2,2023-01-01 03:00:00,12.6,BT4
NO2,2023-01-01 04:00:00,7.9,BT4
NO2,2023-01-01 05:00:00,9.3,BT4
NO2,2023-01-01 06:00:00,12.6,BT4
NO2,2023-01-01 07:00:00,10.7,BT4
NO2,2023-01-01 08:00:00,12.1,BT4
NO2,2023-01-01 09:00:00,10.6,BT4
NO2,2023-01-01 10:00:00,11.8,BT4
NO2,2023-01-01 11:00:00,13.6,BT4
NO2,2023-01-01 12:00:00,13.9,BT4
NO2,2023-01-01 13:00:00,16.1,BT4
NO2,2023-01-01 14:00:00,24.3,BT4
NO2,2023-01-01 15:00:00,22.1,BT4
NO2,2023-01-01 16:00:00,40.2,BT4
NO2,2023-01-01 17:00:00,27.4,BT4
NO2,2023-01-01 18:00:00,33.1,BT4
NO2,2023-01-01 19:00:00,51.1,BT4
NO2,2023-01-01 20:00:00,31.7,BT4
NO2,2023-01-01 21:00:00,35.4,BT4
NO2,2023-01-01 22:00:00,49.2,BT4
NO2,2023-01-01 23:00:00,53.6,BT4
NO2,2023-01-02 00:00:00,40.6,BT4
NO2,2023-01-02 01:00:00,34.8,BT4
NO2,2023-01-02 02:00:00,22.4,BT4
NO2,2023-01-02 03:00:00,14.6,BT4
NO2,2023-01-02 04:00:00,23.1,BT4
NO2,2023-01-02 05:00:00,40.2,BT4
NO2,2023-01-02 06:00:00,42.9,BT4
NO2,2023-01-02 07:00:00,45.9,BT4
NO2,2023-01-02 08:00:00,60.6,BT4
NO2,2023-01-02 09:00:00,48.4,BT4
NO2,2023-01-02 10:00:00,34.6,BT4
NO2,2023-01-02 11:00:00,18.7,BT4
NO2,2023-01-02 12:00:00,39.9,BT4
NO2,2023-01-02 13:00:00,32.2,BT4
NO2,2023-01-02 14:00:00,43.1,BT4
NO2,2023-01-02 15:00:00,63.2,BT4
NO2,2023-01-02 16:00:00,70.1,BT4
NO2,2023-01-02 17:00:00,94.7,BT4
NO2,2023-01-02 18:00:00,91.3,BT4
NO2,2023-01-02 19:00:00,84.1,BT4
NO2,2023-01-02 20:00:00,74.2,BT4
NO2,2023-01-02 21:00:00,87.9,BT4
NO2,2023-01-02 22:00:00,85.1,BT4
NO2,2023-01-02 23:00:00,78.1,BT4
NO2,2023-01-03 00:00:00,69.5,BT4
NO2,2023-01-03 01:00:00,63.8,BT4
NO2,2023-01-03 02:00:00,59.8,BT4
NO2,2023-01-03 03:00:00,54.2,BT4
NO2,2023-01-03 04:00:00,46.6,BT4
NO2,2023-01-03 05:00:00,52.9,BT4
NO2,2023-01-03 06:00:00,69,BT4
NO2,2023-01-03 07:00:00,55.9,BT4
NO2,2023-01-03 08:00:00,46,BT4
NO2,2023-01-03 09:00:00,33.8,BT4
NO2,2023-01-03 10:00:00,31.9,BT4
NO2,2023-01-03 11:00:00,27.4,BT4
NO2,2023-01-03 12:00:00,30.5,BT4
NO2,2023-01-03 13:00:00,29.1,BT4
NO2,2023-01-03 14:00:00,22.3,BT4
NO2,2023-01-03 15:00:00,26.2,BT4
NO2,2023-01-03 16:00:00,21.8,BT4
NO2,2023-01-03 17:00:00,17.8,BT4
NO2,2023-01-03 18:00:00,14.2,BT4
NO2,2023-01-03 19:00:00,13.6,BT4
NO2,2023-01-03 20:00:00,14.3,BT4
NO2,2023-01-03 21:00:00,15.2,BT4
NO2,2023-01-03 22:00:00,12.8,BT4
NO2,2023-01-03 23:00:00,10.6,BT4
NO2,2023-01-04 00:00:00,11.3,BT4
NO2,2023-01-04 01:00:00,5.6,BT4
NO2,2023-01-04 02:00:00,5.2,BT4
NO2,2023-01-04 03:00:00,7.4,BT4
NO2,2023-01-04 04:00:00,7.3,BT4
NO2,2023-01-04 05:00:00,16.5,BT4
NO2,2023-01-04 06:00:00,29.1,BT4
NO2,2023-01-04 07:00:00,41.6,BT4
NO2,2023-01-04 08:00:00,40.7,BT4
NO2,2023-01-04 09:00:00,42,BT4
NO2,2023-01-04 10:00:00,32,BT4
NO2,2023-01-04 11:00:00,28.7,BT4
NO2,2023-01-04 12:00:00,22.8,BT4
NO2,2023-01-04 13:00:00,28.5,BT4
NO2,2023-01-04 14:00:00,25.5,BT4
NO2,2023-01-04 15:00:00,33.3,BT4
NO2,2023-01-04 16:00:00,22,BT4
NO2,2023-01-04 17:00:00,15.4,BT4
NO2,2023-01-04 18:00:00,19,BT4
NO2,2023-01-04 19:00:00,20.8,BT4
NO2,2023-01-04 20:00:00,29,BT4
NO2,2023-01-04 21:00:00,30.2,BT4
NO2,2023-01-04 22:00:00,20.7,BT4
NO2,2023-01-04 23:00:00,22.3,BT4
NO2,2023-01-05 00:00:00,17.3,BT4
NO2,2023-01-05 01:00:00,9.5,BT4
NO2,2023-01-05 02:00:00,9.1,BT4
NO2,2023-01-05 03:00:00,9.9,BT4
NO2,2023-01-05 04:00:00,23.1,BT4
NO2,2023-01-05 05:00:00,34.9,BT4
NO2,2023-01-05 06:00:00,56.5,BT4
NO2,2023-01-05 07:00:00,62.7,BT4
NO2,2023-01-05 08:00:00,53.4,BT4
NO2,2023-01-05 09:00:00,56.9,BT4
NO2,2023-01-05 10:00:00,50.4,BT4
NO2,2023-01-05 11:00:00,58.1,BT4
NO2,2023-01-05 12:00:00,61.5,BT4
NO2,2023-01-05 13:00:00,38.1,BT4
NO2,2023-01-05 14:00:00,52.8,BT4
NO2,2023-01-05 15:00:00,40.3,BT4
NO2,2023-01-05 16:00:00,36.9,BT4
NO2,2023-01-05 17:00:00,38.3,BT4
NO2,2023-01-05 18:00:00,35.5,BT4
NO2,2023-01-05 19:00:00,27.8,BT4
NO2,2023-01-05 20:00:00,20,BT4
NO2,2023-01-05 21:00:00,16.7,BT4
NO2,2023-01-05 22:00:00,14.3,BT4
NO2,2023-01-05 23:00:00,8.9,BT4
NO2,2023-01-06 00:00:00,7.4,BT4
NO2,2023-01-06 01:00:00,7.1,BT4
NO2,2023-01-06 02:00:00,1.9,BT4
NO2,2023-01-06 03:00:00,6.1,BT4
NO2,2023-01-06 04:00:00,20.2,BT4
NO2,2023-01-06 05:00:00,51.1,BT4
NO2,2023-01-06 06:00:00,69.2,BT4
NO2,2023-01-06 07:00:00,65.3,BT4
NO2,2023-01-06 08:00:00,72.9,BT4
NO2,2023-01-06 09:00:00,62.1,BT4
NO2,2023-01-06 10:00:00,56.1,BT4
NO2,2023-01-06 11:00:00,50.1,BT4
NO2,2023-01-06 12:00:00,48.8,BT4
NO2,2023-01-06 13:00:00,43.3,BT4
NO2,2023-01-06 14:00:00,44.8,BT4
NO2,2023-01-06 15:00:00,54.5,BT4
NO2,2023-01-06 16:00:00,52,BT4
NO2,2023-01-06 17:00:00,60.1,BT4
NO2,2023-01-06 18:00:00,40,BT4
NO2,2023-01-06 19:00:00,25.3,BT4
NO2,2023-01-06 20:00:00,20,BT4
NO2,2023-01-06 21:00:00,15.8,BT4
NO2,2023-01-06 22:00:00,15.4,BT4
NO2,2023-01-06 23:00:00,9.2,BT4
NO2,2023-01-07 00:00:00,10.5,BT4
NO2,2023-01-07 01:00:00,6.4,BT4
NO2,2023-01-07 02:00:00,4.9,BT4
NO2,2023-01-07 03:00:00,2.8,BT4
NO2,2023-01-07 04:00:00,6.5,BT4
NO2,2023-01-07 05:00:00,6.7,BT4
NO2,2023-01-07 06:00:00,5.8,BT4
NO2,2023-01-07 07:00:00,9.6,BT4
NO2,2023-01-07 08:00:00,13.3,BT4
NO2,2023-01-07 09:00:00,14.9,BT4
NO2,2023-01-07 10:00:00,18,BT4
NO2,2023-01-07 11:00:00,13.7,BT4
NO2,2023-01-07 12:00:00,12.5,BT4
NO2,2023-01-07 13:00:00,15.2,BT4
NO2,2023-01-07 14:00:00,28.4,BT4
NO2,2023-01-07 15:00:00,24.8,BT4
NO2,2023-01-07 16:00:00,25,BT4
NO2,2023-01-07 17:00:00,21.6,BT4
NO2,2023-01-07 18:00:00,22.8,BT4
NO2,2023-01-07 19:00:00,31.5,BT4
NO2,2023-01-07 20:00:00,31.9,BT4
NO2,2023-01-07 21:00:00,26.6,BT4
NO2,2023-01-07 22:00:00,18.5,BT4
NO2,2023-01-07 23:00:00,15.7,BT4
NO2,2023-01-08 00:00:00,13.9,BT4
NO2,2023-01-08 01:00:00,8.4,BT4
NO2,2023-01-08 02:00:00,8.3,BT4
NO2,2023-01-08 03:00:00,5.7,BT4
NO2,2023-01-08 04:00:00,6,BT4
NO2,2023-01-08 05:00:00,9.7,BT4
NO2,2023-01-08 06:00:00,11.5,BT4
NO2,2023-01-08 07:00:00,10.3,BT4
NO2,2023-01-08 08:00:00,17.3,BT4
NO2,2023-01-08 09:00:00,21.4,BT4
NO2,2023-01-08 10:00:00,14.6,BT4
NO2,2023-01-08 11:00:00,17.6,BT4
NO2,2023-01-08 12:00:00,30.5,BT4
NO2,2023-01-08 13:00:00,28.7,BT4
NO2,2023-01-08 14:00:00,24.7,BT4
NO2,2023-01-08 15:00:00,25.7,BT4
NO2,2023-01-08 16:00:00,33.6,BT4
NO2,2023-01-08 17:00:00,36.9,BT4
NO2,2023-01-08 18:00:00,50.3,BT4
NO2,2023-01-08 19:00:00,43.6,BT4
NO2,2023-01-08 20:00:00,42.8,BT4
NO2,2023-01-08 21:00:00,30.9,BT4
NO2,2023-01-08 22:00:00,23.7,BT4
NO2,2023-01-08 23:00:00,29.5,BT4
NO2,2023-01-09 00:00:00,34.2,BT4
NO2,2023-01-09 01:00:00,12,BT4
NO2,2023-01-09 02:00:00,7.9,BT4
NO2,2023-01-09 03:00:00,7.6,BT4
NO2,2023-01-09 04:00:00,14.8,BT4
NO2,2023-01-09 05:00:00,24.6,BT4
NO2,2023-01-09 06:00:00,56,BT4
NO2,2023-01-09 07:00:00,69,BT4
NO2,2023-01-09 08:00:00,77.7,BT4
NO2,2023-01-09 09:00:00,47.8,BT4
NO2,2023-01-09 10:00:00,37.6,BT4
NO2,2023-01-09 11:00:00,20.5,BT4
NO2,2023-01-09 12:00:00,19.6,BT4
NO2,2023-01-09 13:00:00,15,BT4
NO2,2023-01-09 14:00:00,16.6,BT4
NO2,2023-01-09 15:00:00,28.2,BT4
NO2,2023-01-09 16:00:00,24.8,BT4
NO2,2023-01-09 17:00:00,34.7,BT4
NO2,2023-01-09 18:00:00,39.6,BT4
NO2,2023-01-09 19:00:00,59.2,BT4
NO2,2023-01-09 20:00:00,59.7,BT4
NO2,2023-01-09 21:00:00,51.1,BT4
NO2,2023-01-09 22:00:00,48.2,BT4
NO2,2023-01-09 23:00:00,45.6,BT4
NO2,2023-01-10 00:00:00,50.9,BT4
NO2,2023-01-10 01:00:00,31.7,BT4
NO2,2023-01-10 02:00:00,26.4,BT4
NO2,2023-01-10 03:00:00,20.4,BT4
NO2,2023-01-10 04:00:00,37.8,BT4
NO2,2023-01-10 05:00:00,59.2,BT4
NO2,2023-01-10 06:00:00,58.5,BT4
NO2,2023-01-10 07:00:00,62.1,BT4
NO2,2023-01-10 08:00:00,59.7,BT4
NO2,2023-01-10 09:00:00,41.1,BT4
NO2,2023-01-10 10:00:00,43.9,BT4
NO2,2023-01-10 11:00:00,30.7,BT4
NO2,2023-01-10 12:00:00,32.4,BT4
NO2,2023-01-10 13:00:00,30.8,BT4
NO2,2023-01-10 14:00:00,27.3,BT4
NO2,2023-01-10 15:00:00,25.6,BT4
NO2,2023-01-10 16:00:00,22.8,BT4
NO2,2023-01-10 17:00:00,24.6,BT4
NO2,2023-01-10 18:00:00,21,BT4
NO2,2023-01-10 19:00:00,14.2,BT4
NO2,2023-01-10 20:00:00,12.3,BT4
NO2,2023-01-10 21:00:00,15.6,BT4
NO2,2023-01-10 22:00:00,19.3,BT4
NO2,2023-01-10 23:00:00,14.9,BT4
NO2,2023-01-11 00:00:00,16,BT4
NO2,2023-01-11 01:00:00,15.2,BT4
NO2,2023-01-11 02:00:00,10.3,BT4
NO2,2023-01-11 03:00:00,16.1,BT4
NO2,2023-01-11 04:00:00,22.6,BT4
NO2,2023-01-11 05:00:00,35.2,BT4
NO2,2023-01-11 06:00:00,54.2,BT4
NO2,2023-01-11 07:00:00,62.6,BT4
NO2,2023-01-11 08:00:00,60.2,BT4
NO2,2023-01-11 09:00:00,57.6,BT4
NO2,2023-01-11 10:00:00,43.8,BT4
NO2,2023-01-11 11:00:00,39.9,BT4
NO2,2023-01-11 12:00:00,,BT4
NO2,2023-01-11 13:00:00,36.3,BT4
NO2,2023-01-11 14:00:00,40.3,BT4
NO2,2023-01-11 15:00:00,34.4,BT4
NO2,2023-01-11 16:00:00,34.3,BT4
NO2,2023-01-11 17:00:00,45.1,BT4
NO2,2023-01-11 18:00:00,33.6,BT4
NO2,2023-01-11 19:00:00,33.1,BT4
NO2,2023-01-11 20:00:00,34.2,BT4
NO2,2023-01-11 21:00:00,25.6,BT4
NO2,2023-01-11 22:00:00,26.9,BT4
NO2,2023-01-11 23:00:00,12.7,BT4
NO2,2023-01-12 00:00:00,6.8,BT4
NO2,2023-01-12 01:00:00,6.8,BT4
NO2,2023-01-12 02:00:00,5.2,BT4
NO2,2023-01-12 03:00:00,4,BT4
NO2,2023-01-12 04:00:00,4.1,BT4
NO2,2023-01-12 05:00:00,15.4,BT4
NO2,2023-01-12 06:00:00,27.6,BT4
NO2,2023-01-12 07:00:00,32.4,BT4
NO2,2023-01-12 08:00:00,36.9,BT4
NO2,2023-01-12 09:00:00,34.7,BT4
NO2,2023-01-12 10:00:00,31.8,BT4
NO2,2023-01-12 11:00:00,34.8,BT4
NO2,2023-01-12 12:00:00,37.3,BT4
NO2,2023-01-12 13:00:00,30.3,BT4
NO2,2023-01-12 14:00:00,32.4,BT4
NO2,2023-01-12 15:00:00,48.3,BT4
NO2,2023-01-12 16:00:00,38.2,BT4
NO2,2023-01-12 17:00:00,17,BT4
NO2,2023-01-12 18:00:00,31,BT4
NO2,2023-01-12 19:00:00,33.4,BT4
NO2,2023-01-12 20:00:00,33.6,BT4
NO2,2023-01-12 21:00:00,34.2,BT4
NO2,2023-01-12 22:00:00,26,BT4
NO2,2023-01-12 23:00:00,17.1,BT4
NO2,2023-01-13 00:00:00,11.4,BT4
NO2,2023-01-13 01:00:00,4.6,BT4
NO2,2023-01-13 02:00:00,5.3,BT4
NO2,2023-01-13 03:00:00,4.1,BT4
NO2,2023-01-13 04:00:00,6.2,BT4
NO2,2023-01-13 05:00:00,15.7,BT4
NO2,2023-01-13 06:00:00,24.8,BT4
NO2,2023-01-13 07:00:00,37.6,BT4
NO2,2023-01-13 08:00:00,25.7,BT4
NO2,2023-01-13 09:00:00,22.3,BT4
NO2,2023-01-13 10:00:00,17.7,BT4
NO2,2023-01-13 11:00:00,15.4,BT4
NO2,2023-01-13 12:00:00,12.1,BT4
NO2,2023-01-13 13:00:00,14.4,BT4
NO2,2023-01-13 14:00:00,17.5,BT4
NO2,2023-01-13 15:00:00,22.8,BT4
NO2,2023-01-13 16:00:00,31,BT4
NO2,2023-01-13 17:00:00,59.2,BT4
NO2,2023-01-13 18:00:00,72.6,BT4
NO2,2023-01-13 19:00:00,64.4,BT4
NO2,2023-01-13 20:00:00,58.8,BT4
NO2,2023-01-13 21:00:00,47.9,BT4
NO2,2023-01-13 22:00:00,39.9,BT4
NO2,2023-01-13 23:00:00,25.2,BT4
NO2,2023-01-14 00:00:00,21.8,BT4
NO2,2023-01-14 01:00:00,18.4,BT4
NO2,2023-01-14 02:00:00,13.9,BT4
NO2,2023-01-14 03:00:00,8,BT4
NO2,2023-01-14 04:00:00,7.3,BT4
NO2,2023-01-14 05:00:00,9.5,BT4
NO2,2023-01-14 06:00:00,7.3,BT4
NO2,2023-01-14 07:00:00,11.3,BT4
NO2,2023-01-14 08:00:00,13.4,BT4
NO2,2023-01-14 09:00:00,14.1,BT4
NO2,2023-01-14 10:00:00,18.9,BT4
NO2,2023-01-14 11:00:00,21.2,BT4
NO2,2023-01-14 12:00:00,32.5,BT4
NO2,2023-01-14 13:00:00,29.9,BT4
NO2,2023-01-14 14:00:00,29.8,BT4
NO2,2023-01-14 15:00:00,29.2,BT4
NO2,2023-01-14 16:00:00,28.3,BT4
NO2,2023-01-14 17:00:00,36.6,BT4
NO2,2023-01-14 18:00:00,36.3,BT4
NO2,2023-01-14 19:00:00,31.2,BT4
NO2,2023-01-14 20:00:00,30.7,BT4
NO2,2023-01-14 21:00:00,22.7,BT4
NO2,2023-01-14 22:00:00,29.2,BT4
NO2,2023-01-14 23:00:00,18.3,BT4
NO2,2023-01-15 00:00:00,15.2,BT4
NO2,2023-01-15 01:00:00,11.8,BT4
NO2,2023-01-15 02:00:00,7.1,BT4
NO2,2023-01-15 03:00:00,8.4,BT4
NO2,2023-01-15 04:00:00,5.2,BT4
NO2,2023-01-15 05:00:00,7.4,BT4
NO2,2023-01-15 06:00:00,12.1,BT4
NO2,2023-01-15 07:00:00,20.6,BT4
NO2,2023-01-15 08:00:00,17.1,BT4
NO2,2023-01-15 09:00:00,22.3,BT4
NO2,2023-01-15 10:00:00,19.5,BT4
NO2,2023-01-15 11:00:00,17.2,BT4
NO2,2023-01-15 12:00:00,34.1,BT4
NO2,2023-01-15 13:00:00,37.7,BT4
NO2,2023-01-15 14:00:00,46.4,BT4
NO2,2023-01-15 15:00:00,59.7,BT4
NO2,2023-01-15 16:00:00,58.3,BT4
NO2,2023-01-15 17:00:00,70.2,BT4
NO2,2023-01-15 18:00:00,49.7,BT4
NO2,2023-01-15 19:00:00,43.6,BT4
NO2,2023-01-15 20:00:00,46,BT4
NO2,2023-01-15 21:00:00,66.3,BT4
NO2,2023-01-15 22:00:00,70.2,BT4
NO2,2023-01-15 23:00:00,58.8,BT4
NO2,2023-01-16 00:00:00,36.9,BT4
NO2,2023-01-16 01:00:00,33.7,BT4
NO2,2023-01-16 02:00:00,24.5,BT4
NO2,2023-01-16 03:00:00,15.3,BT4
NO2,2023-01-16 04:00:00,8.9,BT4
NO2,2023-01-16 05:00:00,13.8,BT4
NO2,2023-01-16 06:00:00,24.7,BT4
NO2,2023-01-16 07:00:00,23.7,BT4
NO2,2023-01-16 08:00:00,19.5,BT4
NO2,2023-01-16 09:00:00,20,BT4
NO2,2023-01-16 10:00:00,18,BT4
NO2,2023-01-16 11:00:00,23.5,BT4
NO2,2023-01-16 12:00:00,19.6,BT4
NO2,2023-01-16 13:00:00,22.4,BT4
NO2,2023-01-16 14:00:00,26.9,BT4
NO2,2023-01-16 15:00:00,25.4,BT4
NO2,2023-01-16 16:00:00,26.7,BT4
NO2,2023-01-16 17:00:00,33.1,BT4
NO2,2023-01-16 18:00:00,35.2,BT4
NO2,2023-01-16 19:00:00,41.6,BT4
NO2,2023-01-16 20:00:00,73.7,BT4
NO2,2023-01-16 21:00:00,87.7,BT4
NO2,2023-01-16 22:00:00,86.9,BT4
NO2,2023-01-16 23:00:00,86.7,BT4
NO2,2023-01-17 00:00:00,79.6,BT4
NO2,2023-01-17 01:00:00,78,BT4
NO2,2023-01-17 02:00:00,75.8,BT4
NO2,2023-01-17 03:00:00,71.4,BT4
NO2,2023-01-17 04:00:00,72.2,BT4
NO2,2023-01-17 05:00:00,73.9,BT4
NO2,2023-01-17 06:00:00,93.6,BT4
NO2,2023-01-17 07:00:00,118,BT4
NO2,2023-01-17 08:00:00,107.1,BT4
NO2,2023-01-17 09:00:00,103.1,BT4
NO2,2023-01-17 10:00:00,129.9,BT4
NO2,2023-01-17 11:00:00,113.3,BT4
NO2,2023-01-17 12:00:00,89.9,BT4
NO2,2023-01-17 13:00:00,91.1,BT4
NO2,2023-01-17 14:00:00,87.3,BT4
NO2,2023-01-17 15:00:00,81.8,BT4
NO2,2023-01-17 16:00:00,82.5,BT4
NO2,2023-01-17 17:00:00,70.1,BT4
NO2,2023-01-17 18:00:00,68.4,BT4
NO2,2023-01-17 19:00:00,77,BT4
NO2,2023-01-17 20:00:00,89.8,BT4
NO2,2023-01-17 21:00:00,89.6,BT4
NO2,2023-01-17 22:00:00,63.5,BT4
NO2,2023-01-17 23:00:00,63.4,BT4
NO2,2023-01-18 00:00:00,67.2,BT4
NO2,2023-01-18 01:00:00,56.9,BT4
NO2,2023-01-18 02:00:00,59,BT4
NO2,2023-01-18 03:00:00,56.9,BT4
NO2,2023-01-18 04:00:00,52.5,BT4
NO2,2023-01-18 05:00:00,60.1,BT4
NO2,2023-01-18 06:00:00,90.7,BT4
NO2,2023-01-18 07:00:00,101.6,BT4
NO2,2023-01-18 08:00:00,89.1,BT4
NO2,2023-01-18 09:00:00,82.1,BT4
NO2,2023-01-18 10:00:00,61.7,BT4
NO2,2023-01-18 11:00:00,49.2,BT4
NO2,2023-01-18 12:00:00,33.8,BT4
NO2,2023-01-18 13:00:00,26.2,BT4
NO2,2023-01-18 14:00:00,26.5,BT4
NO2,2023-01-18 15:00:00,30.1,BT4
NO2,2023-01-18 16:00:00,40,BT4
NO2,2023-01-18 17:00:00,66.4,BT4
NO2,2023-01-18 18:00:00,68.2,BT4
NO2,2023-01-18 19:00:00,71.3,BT4
NO2,2023-01-18 20:00:00,64.5,BT4
NO2,2023-01-18 21:00:00,68.1,BT4
NO2,2023-01-18 22:00:00,63.8,BT4
NO2,2023-01-18 23:00:00,50.9,BT4
NO2,2023-01-19 00:00:00,56.6,BT4
NO2,2023-01-19 01:00:00,59.5,BT4
NO2,2023-01-19 02:00:00,53.3,BT4
NO2,2023-01-19 03:00:00,55.7,BT4
NO2,2023-01-19 04:00:00,58.2,BT4
NO2,2023-01-19 05:00:00,63.8,BT4
NO2,2023-01-19 06:00:00,89.7,BT4
NO2,2023-01-19 07:00:00,93.1,BT4
NO2,2023-01-19 08:00:00,89.9,BT4
NO2,2023-01-19 09:00:00,107.6,BT4
NO2,2023-01-19 10:00:00,93.6,BT4
NO2,2023-01-19 11:00:00,94.7,BT4
NO2,2023-01-19 12:00:00,61.6,BT4
NO2,2023-01-19 13:00:00,34.9,BT4
NO2,2023-01-19 14:00:00,30.2,BT4
NO2,2023-01-19 15:00:00,34.3,BT4
NO2,2023-01-19 16:00:00,38.2,BT4
NO2,2023-01-19 17:00:00,52.5,BT4
NO2,2023-01-19 18:00:00,60.6,BT4
NO2,2023-01-19 19:00:00,63.4,BT4
NO2,2023-01-19 20:00:00,58.1,BT4
NO2,2023-01-19 21:00:00,59.2,BT4
NO2,2023-01-19 22:00:00,58.9,BT4
NO2,2023-01-19 23:00:00,48.3,BT4
NO2,2023-01-20 00:00:00,41.5,BT4
NO2,2023-01-20 01:00:00,36.6,BT4
NO2,2023-01-20 02:00:00,45.4,BT4
NO2,2023-01-20 03:00:00,34.3,BT4
NO2,2023-01-20 04:00:00,33.6,BT4
NO2,2023-01-20 05:00:00,52.8,BT4
NO2,2023-01-20 06:00:00,43.9,BT4
NO2,2023-01-20 07:00:00,35.6,BT4
NO2,2023-01-20 08:00:00,41.7,BT4
NO2,2023-01-20 09:00:00,36.5,BT4
NO2,2023-01-20 10:00:00,25.2,BT4
NO2,2023-01-20 11:00:00,24,BT4
NO2,2023-01-20 12:00:00,22.6,BT4
NO2,2023-01-20 13:00:00,25.9,BT4
NO2,2023-01-20 14:00:00,28.2,BT4
NO2,2023-01-20 15:00:00,35,BT4
NO2,2023-01-20 16:00:00,42.4,BT4
NO2,2023-01-20 17:00:00,50.1,BT4
NO2,2023-01-20 18:00:00,43.2,BT4
NO2,2023-01-20 19:00:00,49.5,BT4
NO2,2023-01-20 20:00:00,45.2,BT4
NO2,2023-01-20 21:00:00,45.3,BT4
NO2,2023-01-20 22:00:00,45.3,BT4
NO2,2023-01-20 23:00:00,40.2,BT4
NO2,2023-01-21 00:00:00,33.4,BT4
NO2,2023-01-21 01:00:00,27.1,BT4
NO2,2023-01-21 02:00:00,32.8,BT4
NO2,2023-01-21 03:00:00,39.3,BT4
NO2,2023-01-21 04:00:00,40.1,BT4
